     1	142.325
     2	133.643
     3	151.468
     4	147.509
     5	141.218
     6	136.051
     7	142.775
     8	145.081
     9	144.12
    10	143.079
    11	142.099
    12	139.61
    13	140.162
    14	139.775
    15	141.216
    16	144.02
    17	142.924
    18	144.742
    19	142.57
    20	141.79
    21	140.529
    22	140.043
    23	141.695
    24	140.679
    25	141.104
    26	141.887
    27	141.188
    28	142.423
    29	142.98
    30	145.301
    31	143.885
    32	143.445
    33	142.918
    34	141.967
    35	142.297
    36	141.252
    37	141.462
    38	143.936
    39	145.787
    40	146.694
    41	145.788
    42	144.519
    43	143.966
    44	142.557
    45	142.1
    46	142.438
    47	142.91
    48	142.549
    49	142.922
    50	143.517
    51	142.749
    52	142.22
    53	141.933
    54	143.18
    55	143.578
    56	144.232
    57	144.484
    58	144.622
    59	144.675
    60	144.907
    61	144.275
    62	144.371
    63	144.448
    64	144.927
    65	145.032
    66	145.903
    67	145.827
    68	145.315
    69	144.895
    70	144.444
    71	144.643
    72	145.414
    73	145.733
    74	146.048
    75	145.336
    76	145.382
    77	145.424
    78	145.112
    79	144.886
    80	144.953
    81	144.749
    82	144.618
    83	144.929
    84	144.612
    85	144.294
    86	144.25
    87	144.412
    88	143.916
    89	143.374
    90	143.047
    91	147.854
    92	147.736
    93	147.347
    94	147.964
    95	147.61
    96	147.048
    97	146.68
    98	146.684
    99	146.116
   100	146.272
   101	145.668
   102	145.562
   103	145.276
   104	144.951
   105	144.439
   106	144.705
   107	144.56
   108	144.776
   109	144.735
   110	144.372
   111	144.402
   112	143.964
   113	143.971
   114	143.598
   115	143.085
   116	142.624
   117	142.279
   118	141.942
   119	141.592
   120	141.626
   121	142.438
   122	142.295
   123	141.958
   124	141.842
   125	141.581
